id,ime
346732,George R.R. Martin
3505,Wally Lamb
81466,A.A. Milne
12521,William Goldman
123715,Agatha Christie
1240,Jack London
39402,Patrick Süskind
2546,Chuck Palahniuk
102203,Corrie ten Boom
3961,Alan Moore
8120,Arthur Miller
4178,Cormac McCarthy
13778,Bill Watterson
12898,Stephen Chbosky
83846,Margery Williams Bianco
7577,Anne Rice
8051,Chinua Achebe
3167,Joseph Heller
6466154,Kahlil Gibran
18540,T.S. Eliot
18479,Margaret Wise Brown
17434,Alex Haley
4917067,Colleen McCullough
5255014,J.M. Barrie
6417,James Clavell
10420,Aleksandr Solzhenitsyn
3539,Rohinton Mistry
3617,Diana Gabaldon
3503,Maya Angelou
205,Robert A. Heinlein
3299,Salman Rushdie
4339,David Foster Wallace
3354,Haruki Murakami
3618,Philip Pullman
7751,Tennessee Williams
1654,Terry Pratchett
2238,Isabel Allende
4764,Philip K. Dick
6134,Arundhati Roy
2782,Viktor E. Frankl
4841825,Marion Zimmer Bradley
7902,Boris Pasternak
16,Edith Wharton
16904,Richard Bach
426944,T.H. White
630,Dan Brown
256,Jared Diamond
2331,Mitch Albom
17435,Malcolm X
3843,Kenneth Grahame
23510,Upton Sinclair
861,Jean M. Auel
881203,Willa Cather
3670,Jhumpa Lahiri
3506,Carson McCullers
4952,John Berendt
4030,Michael Ondaatje
3496,John Knowles
4694,Laura Esquivel
2715,Michael Chabon
233619,Marcel Proust
155517,Italo Calvino
401,Robert M. Pirsig
4128,J.M. Coetzee
235,Thomas Pynchon
86404,E.M. Forster
11315,Evelyn Waugh
500,Jorge Luis Borges
214,Norton Juster
5117,Art Spiegelman
9226,William Gibson
1899,Howard Zinn
2345,Nicholas Sparks
27779,Caleb Carr
6125,Fannie Flagg
1388082,Jostein Gaarder
13974,Mark Z. Danielewski
9657,Richard Wright
1973,Tracy Chevalier
2849,David Sedaris
1949,Katherine Paterson
1235,Jon Krakauer
6191,Martin Heidegger
16747,Robert Musil
19708,Leon Uris
749461,Günter Grass
1466,Jean-Paul Sartre
15619,Michael Ende
2751,Bret Easton Ellis
10039,John Fowles
1467,Jeffrey Eugenides
7869,Louis-Ferdinand Céline
2894,Bernhard Schlink
721,John Grisham
3362,Eric Carle
20105,Joseph Campbell
27069,Richard Yates
3736,Robert Penn Warren
7906,Rainer Maria Rilke
3012988,Robert Graves
7130,Charles Frazier
43443,Dee Brown
1432,Michael Cunningham
1221698,Neil Gaiman
63,Bryce Courtenay
608211,Robin Waterfield
293,Tom Stoppard
16667,Isaac Asimov
4999,Scott O&#39;Dell
6569,Louis Sachar
15328,John Hersey
7385,Chaim Potok
15332,Rachel Carson
22694,Flannery O&#39;Connor
4176632,W. Somerset Maugham
874602,Ursula K. Le Guin
5548,Simone de Beauvoir
1873,David Guterson
16892,Michael Shaara
3527,Alan Paton
3892,Tom Clancy
147,Henry Miller
1262010,Annie Proulx
16927,Dashiell Hammett
69007,Beatrice Sparks
6900,Thomas Keneally
3371,Dave Eggers
233,Don DeLillo
10003,Laurie Halse Anderson
9057,Gaston Leroux
3083854,Tom Wolfe
12942,Judy Blume
17623,D.H. Lawrence
1237,Jung Chang
3090,Helen Fielding
7215049,Isak Dinesen
2893961,Emmuska Orczy
9685,Chris Van Allsburg
4261,Allen Ginsberg
5668,Nikos Kazantzakis
157779,Wallace Stegner
11593,Beatrix Potter
12584,E.L. Doctorow
6878,John Updike
2533,Graham Greene
410653,Astrid Lindgren
1401,Stephen Hawking
88483,Oswald Spengler
21477,Nevil Shute
5194,Michael Crichton
7451,Keri Hulme
75091,Fred Gipson
6025722,Walter M. Miller Jr.
22485,Jacqueline Susann
10074,Ellen Raskin
8166,Lawrence Durrell
4462369,William S. Burroughs
463,Philip Roth
1377,Raymond Chandler
545,Neal Stephenson
28345,Vikram Seth
6252,Robert Jordan
18062,James Herriot
6942,Pat Conroy
6526,Kōbō Abe
13263,Edith Hamilton
7779,Arthur C. Clarke
29068,Dalton Trumbo
7715,Robert Frost
7995,James A. Michener
6208,Dodie Smith
3317,Dale Carnegie
17592,Nicolas Tredell
21475,Pat Frank
4229,Sebastian Faulks
10105,Avi
18343452,Louis de-Bernières
10547,E.E. Cummings
1774448,Jaroslav Hašek
197,Tom Robbins
8622,Katherine Dunn
8146,Mark Helprin
56700,Crockett Johnson
10538,Carl Sagan
4007,Mary Doria Russell
13360,William L. Shirer
3732,Lorraine Hansberry
13677,Gail Carson Levine
457,Anne Tyler
9020,Herman Wouk
3034502,Douglas R. Hofstadter
296961,Paul Auster
15445,Carl Bernstein
4187,Primo Levi
7622,Patricia Highsmith
3536,Ursula Hegi
76172,Ernesto Che Guevara
58918,Helene Hanff
9720,Mary Norton
19405,Thomas Mann
4376,Susanna Kaysen
5687,Irvine Welsh
16652,John Howard Griffin
4026,Pablo Neruda
7816,Fernando Pessoa
16943,Norman Maclean
11700,David James Duncan
7491,Marilynne Robinson
2929,Nick Hornby
15590,Mary  Stewart
957910,Henri Charrière
2384,Janet Evanovich
7732,Marguerite Yourcenar
7287,Iris Murdoch
45645,Sherwood Anderson
7680,Eugene O&#39;Neill
7,Bill Bryson
22018,Mervyn Peake
17219,Arthur Koestler
38285,C.G. Jung
12833,Irving Stone
7419,John Galsworthy
10330,Daniel Quinn
1538,Stephen R. Covey
21798,Betty Friedan
1411964,John le Carré
25824,Julio Cortázar
13234,Sandra Cisneros
1040250,M.M. Kaye
8993,O. Henry
52627,Olive Ann Burns
30055,Ezra Pound
10710,W.E.B. Du Bois
44061,Thornton Wilder
5329,Brian Jacques
1954,Natalie Babbitt
15248,Flann O&#39;Brien
21778,Juan Rulfo
5336,Judi Barrett
5768,John Jakes
1054,Beryl Markham
25022,Jean Rhys
53259,Stella Gibbons
2147,Ivo Andrić
1067608,Peter S. Beagle
8050,Ira Levin
35822,Tony Kushner
7963,P.G. Wodehouse
11121,Jerzy Kosiński
23129,Robertson Davies
10885,Edgar Rice Burroughs
171515,Georg Trakl
43298,Yevgeny Zamyatin
15819,Guy Debord
7970,Richard Brautigan
8726,Richard Matheson
5209,Annie Dillard
1194,Richard Dawkins
163,Marguerite Duras
104728,William Peter Blatty
12605,Mario Puzo
14002590,W.H. Auden
40351,Henry Lincoln
5858,Richard Bachman
1339,Jane Smiley
9785,Andre Dubus III
8203,James Redfield
36332,John Wyndham
7927,Norman Mailer
15516,Erich Segal
27397,Benjamin Hoff
14032,Connie Willis
16628,Walter Farley
26,Anne McCaffrey
481146,John Gardner
3540,Janet Fitch
51229,John  Williams
7921,Thomas Wolfe
4280,Kazuo Ishiguro
24956,Dorothy Parker
11728,James McBride
7659,Paul Bowles
41108,Paulo Freire
13275,Charles Bukowski
22698,Richard Llewellyn
6872556,P.L. Travers
1353301,V.C. Andrews
38329,Heinrich Harrer
7549,Elizabeth George Speare
3533,Ernest J. Gaines
12696,Jerry Spinelli
26957,Gerald Durrell
26853,Bertolt Brecht
12980,Stephen R. Donaldson
8719,Donna Tartt
3515,Ann-Marie MacDonald
3510,Billie Letts
7010931,J.G. Ballard
20849,Rosamunde Pilcher
281443,Ernst Jünger
9388,Louise Erdrich
29182,Patricia MacLachlan
2560,Louise Fitzhugh
9494,H.P. Lovecraft
1260,Michel Foucault
13093,Muriel Spark
7330,Sinclair Lewis
4391,Saul Bellow
5234,Sena Jeter Naslund
29611,James Agee
13388,Shirley Jackson
2687,Dan Simmons
6238,Marjane Satrapi
843200,Oliver Sacks
7014283,G.K. Chesterton
19316,Peter Mayle
65685,Nathanael West
36746,Lemony Snicket
16266,Kent Haruf
15085,Frank Miller
9432,Joanne Harris
2565,Ian Fleming
4203,Sigrid Undset
8875,Halldór Kiljan Laxness
137261,Barbara W. Tuchman
130766,Robert Bolt
337,Walker Percy
3119,Paul Scott
3524,Joyce Carol Oates
7628,Iain Banks
6760,Laurie R. King
403,Beverly Cleary
72039,Roberto Bolaño
1886,Douglas Coupland
5293,Robert Ludlum
8588,Raymond E. Feist
3532,Maeve Binchy
14160,Marilyn French
2713,E.L. Konigsburg
42041,Max Weber
43828,Aldo Leopold
12476,Joe Haldeman
1429989,Richard Feynman
42697,Irma S. Rombauer
37218,Edward Abbey
24824,Jon Stone
13078,Kingsley Amis
8458,James W. Loewen
17854,Bertrand Russell
39326,Heinrich Böll
33998,Edna St. Vincent Millay
238,Joan Didion
26335,Hubert Selby Jr.
2014,Garrison Keillor
6412,Robert C. O&#39;Brien
7464,John Cheever
16770310,Edward W. Said
10991,Stanisław Lem
1209,Ford Madox Ford
36714,Frederick Forsyth
31457,James Dickey
4738,Alexander McCall Smith
5244478,Robert R. McCammon
29963,W.B. Yeats
8933,Alan Lightman
2522,Zadie Smith
28719,Gail Tsukiyama
29535,Octavia E. Butler
157249,William Wharton
12034,Carol Shields
14473,James M. Cain
33918,China Miéville
44202,Mikhail Sholokhov
1881,Dave Pelzer
7363,Raymond Carver
33384,Taylor Caldwell
18930,Anya Seton
5684,Alex Garland
28828,Vincent Bugliosi
38185,Mary Renault
3441,Terry Goodkind
2031,James Hilton
16494,Sebastian Junger
30913,Laura Hillenbrand
4260,Diana Wynne Jones
6485158,Homer Hickam
9632,Witold Gombrowicz
9629,Terry Brooks
14053,Simon Winchester
10992,Alfred Bester
19595,Vasily Grossman
13453,William Blake
22393,Naomi Wolf
369288,Peter Høeg
8649,Juliet Marillier
26946,Mildred D. Taylor
8407795,Giuseppe Tomasi di Lampedusa
30691,Adolf Hitler
12810,Julian Jaynes
15873,Cornelia Funke
29184,Nancy E. Turner
2914435,Alcoholics Anonymous
10427,James Baldwin
8184204,Richard Preston
4735497,Thomas S. Kuhn
5752454,Robert Shea
29333,Dietrich Bonhoeffer
8734,Dorothy L. Sayers
11337,Martin Amis
7785453,Black Elk
6001,Carolyn Keene
6281688,David McCullough
23069,Gene Wolfe
42920,Wallace Stevens
8258,Martin Cruz Smith
670307,Friedrich A. Hayek
10366,Clive Barker
1728,Orhan Pamuk
5657,Gore Vidal
4820,Jeffrey Archer
25307,Robin Hobb
68809,John Gunther
17452454,P.D. James
1254084,William Least Heat-Moon
10673,Eleanor H. Porter
563720,O.E. Rølvaag
29581,Leslie Marmon Silko
6039100,Robert Munsch
1064072,T. Coraghessan Boyle
26338,Henry Roth
1858,Kim Stanley Robinson
22515,Mario Vargas Llosa
64280,Ludwig Bemelmans
419,Naomi Klein
23509,Jean Craighead George
17290,Maxine Hong Kingston
6530,Max Frisch
722,Robert A. Caro
6160,Sophie Kinsella
5835922,Naguib Mahfouz
6517,Elias Canetti
5339,Robin McKinley
25334,Sarah Waters
12455,Thomas   Harris
16204,Edward Rutherfurd
262262,Felix Salten
8788,Erich Fromm
16184,Will Durant
25864,John Fante
2875209,T.E. Lawrence
75287,Jean-Dominique Bauby
45706,Alfred Döblin
6404,Jonathan Lethem
121072,Janet E. Morris
3530,Anita Shreve
5775606,Ernesto Sabato
63564,André Malraux
7371,Tobias Wolff
16893,MacKinlay Kantor
85288,Benedict Freedman
13663,Kate DiCamillo
5600,Patrick O&#39;Brian
10746,Jim Butcher
52074,John Crowley
66162,Charles Tazewell
6098,Nicholas Evans
2996,Michael Herr
18,Gary Paulsen
43602,Harriette Simpson Arnow
28709,Chuck Dixon
41013,Farley Mowat
1169504,A.S. Byatt
28229,Banana Yoshimoto
7728,Doris Lessing
7689,Eugène Ionesco
23511,Rita Mae Brown
3030,Alvin Toffler
127901,Lloyd C. Douglas
6437238,William Strunk Jr.
3080,Judith Viorst
2408,Ian McEwan
4778,John Dos Passos
22099,John     Nichols
25573,Stefan Zweig
9800,Anne Michaels
51606,L.P. Hartley
99703,Anna Akhmatova
24846,Shelby Foote
22996,Frederik Pohl
27573,Leo F. Buscaglia
6685,Fritjof Capra
40552,Jan Karon
44023,Josephine Tey
6492,Francine Rivers
11237,Catherine Marshall
9322,Edward Albee
24655,Sharon Kay Penman
77193,Helen Prejean
6460339,Alain-Fournier
29952,Jean Genet
4043,Wilbur Smith
35258,Yukio Mishima
1094283,D.M. Thomas
23394,Frederick Exley
30095,Jean Webster
3429453,Frank B. Gilbreth Jr.
1795488,Victor Villaseñor
1372693,Gene Stratton-Porter
29544,James Alexander Thom
3989,V.S. Naipaul
12076,Russell Hoban
11646,Lynda Barry
46158,Marjorie Kinnan Rawlings
12534,Larry Niven
8732,David Eddings
8055,Ha Jin
2749,Scott Turow
3061,M. Scott Peck
1041311,René Goscinny
54103,Jean Giono
14164,Shūsaku Endō
8113,John Barth
40398,Arturo Pérez-Reverte
7308,Susan Cooper
7844,Richard Russo
13084,Roland Barthes
142899,Bruno Schulz
19651,Ken Grimwood
37728,Frantz Fanon
25096,Jean Toomer
7745,Thomas Bernhard
3858028,Mikhail Bakhtin
33503,L. Ron Hubbard
42354,Margaret Laurence
8550,Yasunari Kawabata
4771489,Sándor Márai
93351,Michelle Magorian
7672,Ludwig Wittgenstein
29005,Mitsu Yamamoto
10089,Philip José Farmer
52683,Jorge Amado
51204,Alastair Reynolds
8596,Tamora Pierce
14255,Danielle Steel
1439,Malcolm Gladwell
7113,Anne Lamott
72703,Samuel Butler
3619,Roger Zelazny
20730,Don Freeman
38706,Italo Svevo
47391,Patrick McCabe
117182,Susan Faludi
44037,Vernor Vinge
57189,Dylan Thomas
3999,James  Jones
5599,Dorothy Allison
6941,Peter Straub
7277,Julia Alvarez
21135,Anne Morrow Lindbergh
22595,Peter Carey
37766,Gary Jennings
3277,Dava Sobel
17065,J.D. Robb
3400721,Pierre Boulle
274225,Anna Lee Waldo
1462,Julian Barnes
64654,Sheila Burnford
26975,Gary Zukav
26090,William  Kennedy
53501,George R. Stewart
40098,Luke Rhinehart
1159886,Arkady Strugatsky
16541,Tony Horwitz
447,Bernard Malamud
73021,Booth Tarkington
13607545,Sadegh Hedayat
150701,Jack Schaefer
7713,Sam Shepard
27034,Charles Portis
12144,James M. McPherson
80824,Milorad Pavić
18206,Thor Heyerdahl
575,Robert   Harris
6580622,W.G. Sebald
600,Robert T. Kiyosaki
44150,Federico García Lorca
88445,Kathleen E. Woodiwiss
5989,Jane Yolen
47421,Dino Buzzati
30013,Djuna Barnes
99849,Esther Forbes
90796,Jerry Mander
15865,William James
3073,John Buchan
28574,Jude Deveraux
7469,Octavio Paz
16218,Christopher Moore
11654,Meg Cabot
28785,Peter Shaffer
4953,Philippa Pearce
2887,James Ellroy
15435,William Carlos Williams
29974,David  Lindsay
30898,Quino
3047,John F. Kennedy
3521,Bret Lott
9097,Legs McNeil
6944,Jack Finney
3424060,Adolfo Bioy Casares
1860,Walter Benjamin
41992,Jerome Lawrence
28544,Sharon Shinn
59542,Peter Benchley
3731,Frances Goodrich
50783,Patrick White
1470908,The Onion
4000,Pat Barker
5091,Lee Child
19929,Tim Winton
33472,Mika Waltari
15959,Boris Vian
6410,Alice Munro
48305,Cornelius Ryan
10015,Kate Atkinson
622,Gary Chapman
7031,James Lee Burke
8167,Reynolds Price
4493,Eckhart Tolle
2934,Noah Gordon
60177,Guy Gavriel Kay
74263,John Rawls
6587,Tad Williams
41313,Susan Elizabeth Phillips
89552,Munro Leaf
70540,Ivan Doig
3500,Anna Quindlen
3180482,SubGenius Foundation
54711,Janell Cannon
27500,Angela Carter
184683,Willem Frederik Hermans
15991,William Gaddis
1367127,Carlos Fuentes
27861,Ian Falconer
95937,João Guimarães Rosa
114539,Mordecai Richler
5882,Stephen E. Ambrose
14033,Winston S. Churchill
82608,Rafael Sabatini
30681,Joseph Roth
47499,Paullina Simons
92064,Paul Gallico
3101,Barry Unsworth
26814,Anne Sexton
9074,Thich Nhat Hanh
63523,Alfred Korzybski
148413,Patrick Leigh Fermor
8835,Tim Powers
6568,James D. Bradley
7372,Philip Gourevitch
113561,Osamu Dazai
20404,Henry Adams
23012,Clifford D. Simak
47118,Nicholas Monsarrat
295289,Richard Hughes
236,Harold Bloom
32878,Michel Houellebecq
3098,Mark Bowden
7128,Jodi Picoult
367338,Nelson Mandela
41963,Neil Postman
17220,Nelson Algren
4370,Elizabeth Wurtzel
4152890,Daniil Kharms
12535,David Morrell
20560,Sheri S. Tepper
12470,Michael Connelly
10331,Ishmael Reed
5441368,Antal Szerb
18575,Malika Oufkir
7735,Irwin Shaw
18067,Georgette Heyer
25847,Lester Bangs
5310,Lois Lenski
3340,Spencer Johnson
139434,Oğuz Atay
31726,Marc Reisner
21508,John Cowper Powys
6356,Barack Obama
12447,Arnold Lobel
41588,Elizabeth Bishop
36686,Luther Blissett
10229,Christopher Isherwood
8644,Sylvia Nasar
25708,Gao Xingjian
8924,Lloyd Alexander
36378,Amin Maalouf
50873,L.J. Smith
10108,Roddy Doyle
1417512,J.G. Farrell
14079,Jay McInerney
67388,Forrest Carter
9325,Gertrude Stein
9399,Jeanette Winterson
26897,Anne Bishop
4174,Sherman Alexie
2951738,Noel Streatfeild
296340,Clint Catalyst
161460,Bill Knott
51575,Colette
174213,Cookie Mueller
44694,Harry Mulisch
66522,Guillaume Apollinaire
15128,Russell Banks
5559570,Louise Glück
60609,Eve Ensler
5376,Jack Vance
13705,George Selden
1847,Mark Kurlansky
9599,Paul Theroux
7625163,Tim LaHaye
36122,Patricia C. Wrede
9833,Iain Pears
7617,André Gide
48206,Karen Marie Moning
36812,Claire Huchet Bishop
6538289,David Mitchell
65974,Leon Trotsky
42288,Clyde Edgerton
1145220,J.I. Packer
2313,Louis de Bernières
14084,Jonathan Kozol
1025097,Patricia Cornwell
40311,Piers Paul Read
1216116,Ferenc Molnár
128607,Elfriede Jelinek
4402,Miguel Ruiz
153394,Suzanne Collins
569,Khaled Hosseini
11466,Markus Zusak
1943477,Kathryn Stockett
811,Yann Martel
706255,Stieg Larsson
498072,Audrey Niffenegger
1406384,John Green
24556,Sara Gruen
1050,Mark Haddon
316,Alice Sebold
941441,Stephenie Meyer
4039811,Veronica Roth
15872,Rick Riordan
150038,Cassandra Clare
815,Carlos Ruiz Zafón
2617,Jonathan Safran Foer
4711,Sue Monk Kidd
3275,Jeannette Walls
1194527,Mary Ann Shaffer
534082,Tim Butcher
11679,Elizabeth Gilbert
108424,Patrick Rothfuss
23613,Emma Donoghue
798,Steven D. Levitt
55215,Junot Díaz
2578,Jonathan Franzen
5869,Erik Larson
137902,Richelle Mead
22665,Diane Setterfield
8002,John Grogan
5918,Elizabeth Kostova
9987,Philippa Gregory
4370565,Erin Morgenstern
7136914,Ann Patchett
194531,Garth Stein
2383,Gillian Flynn
713,Lisa See
6876,Kim Edwards
8842,Susanna Clarke
27837,Greg Mortenson
15481463,William Paul Young
305400,Tatiana de Rosnay
2121,Michael Pollan
2633,Nicole Krauss
810254,Aravind Adiga
982213,David Wroblewski
28186,Anthony Doerr
5571,Lynne Truss
822,James Frey
7195,John Boyne
3956,Christopher Hitchens
211268,Geraldine Brooks
286014,Ki Longfellow
93353,Abraham Verghese
31712,Ernest Cline
18049968,Behrouz Hosseini
2940640,Rebecca Skloot
8349,Christopher Paolini
45922,Lionel Shriver
33,Edward P. Jones
1373880,Kristin Cashore
6540057,Andy Weir
348878,James Dashner
569269,Jay Asher
643126,Muriel Barbery
5791,Max Brooks
18907,Gregory David Roberts
287960,Randy Pausch
5151,Azar Nafisi
97313,Elizabeth Strout
2876763,Becca Fitzpatrick
17061,Charlaine Harris
13591,Leif Enger
13957,Scott Westerfeld
281810,Jojo Moyes
1257,Barbara Ehrenreich
49625,Jennifer Egan
14080,Colum McCann
3058,Augusten Burroughs
3046613,Ransom Riggs
58851,Hilary Mantel
38120,Brian Selznick
1421619,Jamie Ford
45315,Justin Cronin
4432,Jasper Fforde
10289,Dennis Lehane
374590,Chris Cleave
615274,Kate Morton
380,Eric Schlosser
46118,David Nicholls
2936493,Lauren Oliver
11291,Chimamanda Ngozi Adichie
4725841,E.L. James
22493,Irène Némirovsky
6578005,Salman Aditya
479779,John Ajvide Lindqvist
1304470,Ally Condie
769979,Åsne Seierstad
7956,Mary Roach
9355,Dean Koontz
1476,Doris Kearns Goodwin
375,Chuck Klosterman
7949493,Kia Carrington-Russell
2526,Libba Bray
3849415,Deborah Harkness
16272,Michel Faber
1063732,Paula Hawkins
56223,Joshua Ferris
295178,Gayle Forman
38550,Brandon Sanderson
2122,Sarah Vowell
2905297,Lauren Kate
7581,Kelley Armstrong
149883,Andrew Davidson
1330292,Maggie Stiefvater
2226,Alan Brennert
4859212,R.J. Palacio
1899600,Vicki Myron
24189,Ishmael Beah
3433047,Sarah J. Maas
9222,Emma McLaughlin
3380908,Pittacus Lore
7116,Cecelia Ahern
2895706,Kami Garcia
7471,D.B.C. Pierre
138825,Tana French
4684322,Marissa Meyer
978484,Lisa Genova
225944,Per Petterson
6649,Stephen Colbert
324620,Laini Taylor
6621980,Yuehai Xiao
15830,Sarah Dunant
120401,David Benioff
460979,Nancy Horan
3681,Ann Brashares
291916,Robert Fanney
3222554,Jonas Jonasson
60229,Ron Hall
38951,John Connolly
54493,Kristin Hannah
370361,Patrick Ness
16593,Sam Harris
14151,Craig Thompson
20248,J.R. Ward
1641,Nathaniel Philbrick
4208569,Rainbow Rowell
4808225,Dennis Sharpe
4251995,Ted Bernal Guevara
24689,Harlan Coben
3354538,Rom LcO&#39;Feer
8546,Julie Powell
36615,Adam Johnson
40563,Patricia Briggs
1041872,Patrick deWitt
3780,James Patterson
20411,Lawrence Hill
445303,Maria V. Snyder
4342215,Marie Lu
2747995,Mahbod Seraji
80212,C.J. Sansom
5309857,Rachel Joyce
363635,Linda Masemore Pirrung
200317,Alyson Noel
57983,Newt Scamander
